adduct,mz,rt QE,name,Formula
M+H,127.03875,0.746,5-Hydroxymethyl-2-furaldehyde,C6H6O3
M+H,143.0451,1.41,5-HYDROXYMETHYLURACIL,C5H6N2O3
M+Na,165.0271,1.41,5-HYDROXYMETHYLURACIL+Na,C5H6N2O3
M+H-H2O,125.0346,1.41,5-HYDROXYMETHYLURACIL-H2O,C5H6N2O3
M+H,253.0808,11.2,5-HYDROXY-N-FORMYLKYNURENINE,C11H12N2O5
M+H,126.0662,1.16,5-METHYLCYTOSINE HYDROCLORIDE,C5H7N3O
M+K,164.0221,1.16,5-METHYLCYTOSINE HYDROCLORIDE+K,C5H7N3O
M+Na,148.0481,1.16,5-METHYLCYTOSINE HYDROCLORIDE+Na,C5H7N3O
M+H,298.0968,7.42,5'-METHYLTHIOADENOSINE,C11H15N5O3S
M+Na,320.0788,7.42,5'-METHYLTHIOADENOSINE+Na,C11H15N5O3S
M+H,130.0499,1.84,5-OXO-D-PROLINE,C5H7NO3
M+Na,152.0318,1.84,5-OXO-D-PROLINE+Na,C5H7NO3
M+H,101.0597,8.54,5-VALEROLACTONE,C5H8O2
M+H,101.0597,4.13,5-VALEROLACTONE,C5H8O2
M+H,161.0808,7.96,6-CARBOXYHEXANOATE,C7H12O4
M+Na,183.0628,7.96,6-CARBOXYHEXANOATE+Na,C7H12O4
M+H-H2O,143.0703,7.96,6-CARBOXYHEXANOATE-H2O,C7H12O4
,205.0683,0.75,6C-SUGAR ALCOHOL,C6H14O6
M+Na,187.0577,0.93,6-DEOXY-HEXOSE+Na,C6H12O5
M+K,203.0316,0.9,6-DEOXY-L-GALACTOSE+K,C6H12O5
M+Na,187.0577,0.9,6-DEOXY-L-GALACTOSE+Na,C6H12O5
M+H-H2O,147.0652,0.9,6-DEOXY-L-GALACTOSE-H2O,C6H12O5
M+H-NH3,153.0546,6.32,6-HYDROXYDOPAMINE-NH3,C8H11NO3
M+H,140.0342,4.18,6-HYDROXYNICOTINATE,C6H5NO3
M+Na,162.0162,4.18,6-HYDROXYNICOTINATE+Na,C6H5NO3
M+H,277.0319,0.76,6-PHOSPHOGLUCONIC ACID,C6H13O10P
M+H,174.05473,7.972,6-QUINOLINCARBOXYLIC ACID,C10H7NO2
M+H,225.09879,7.82,7-(b-HYDROXYETHYL)THEOPHYLLINE,C9H12N4O3
M+H,431.3156,13.31,7-hydroxy-3-oxo-4-cholestenoic acid,C27H42O4
M+Na,453.2975,13.31,7-hydroxy-3-oxo-4-cholestenoic acid+Na,C27H42O4
M+H,391.2843,12.04,7-KETOCHENODEOXYCHOLIC ACID,C24H38O4
M+H-H2O,373.2737,12.04,7-KETOCHENODEOXYCHOLIC ACID-water,C24H38O4
M+H-H2O,373.2737,10.85,7-KETOCHENODEOXYCHOLIC ACID-water,C24H38O4
M+H,407.2792,10.87,7-KETODEOXYCHOLIC ACID,C24H38O5
M+Na,429.2611,10.87,7-KETODEOXYCHOLIC ACID+Na,C24H38O5
M+H-H2O,389.2686,10.87,7-KETODEOXYCHOLIC ACID-water,C24H38O5
M+H,103.039,2.03,ACETOACETATE,C4H6O3
M+Na,125.0209,2.03,ACETOACETATE+Na,C4H6O3
M+H,152.0711,9.18,ACETOMINOPHEN,C8H9NO2
M+H,217.1295,1.62,ACETYLARGININE,C8H16N4O3
M+H,204.1232,3.7,ACETYLCARNITINE,
,207.1414,3.7,ACETYLCARNITINE (N-methyl-D3),
M+Na,226.105,3.7,ACETYLCARNITINE+Na,C9H17NO4
M-e,146.1176,2.39,ACETYLCHOLINE,C7H16NO2
M+H,218.1135,2.23,ACETYLCITRULLINE,C8H15N3O4
M+H-H2O,186.1125,3.7,ACETYL-L-CARNITINE-H2O,C9H17NO4
M+H,148.0604,0.85,ACETYL-L-SERINE,C5H9NO4
M+K,186.0163,0.85,ACETYL-L-SERINE+K,C5H9NO4
M+Na,170.0424,0.85,ACETYL-L-SERINE+Na,C5H9NO4
M+H-H2O,130.0499,0.85,ACETYL-L-SERINE-H2O,C5H9NO4
M+H-NH3,131.0339,0.85,ACETYL-L-SERINE-NH3,C5H9NO4
M+H,208.097,8.76,ACETYLPHENYLALANINE,C11H13NO3
M+H,248.1498,5.3,ACYL-CARNITINE(4-OH),
M+H,262.1649,6.6,ACYL-CARNITINE(5-OH),
M+H,136.0618,1.48,ADENINE,C5H5N5
M+K,174.0177,1.48,ADENINE+K,C5H5N5
M+Na,158.0437,1.48,ADENINE+Na,C5H5N5
M+H-NH3,119.0352,1.48,ADENINE-NH3,C5H5N5
M+H,268.104,5.72,ADENOSINE,C10H13N5O4
M+H,330.0598,3.54,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE",C10H12N5O6P
M+Na,352.0417,3.54,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE+Na",C10H12N5O6P
M+H,330.0598,6.1,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O6P
M+Na,352.0417,6.1,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na",C10H12N5O6P
M+H,428.0367,1.15,"ADENOSINE 3',5'-DIPHOSPHATE",C10H15N5O10P2
M+H,560.079,1.17,ADENOSINE 5'-DIPHOSPHORIBOSE,C15H23N5O14P2
M+Na,582.0609,1.17,ADENOSINE 5'-DIPHOSPHORIBOSE+Na,C15H23N5O14P2
M+H,348.0704,1.77,ADENOSINE 5'-MONOPHOSPHATE,C10H14N5O7P
M+Na,290.086,5.72,ADENOSINE+Na,C10H13N5O4
M+H,590.0895,1.15,ADENOSINE-5'-DIPHOSPHOGLUCOSE,C16H25N5O15P2
M+Na,612.0715,1.15,ADENOSINE-5'-DIPHOSPHOGLUCOSE+Na,C16H25N5O15P2
M+H,330.0598,5.84,ADENOSINE-CYCLIC MONOPHOSPHATE,C10H12N5O6P
M+H,147.0652,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID,C6H10O4
M+Na,169.0471,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID+Na,C6H10O4
M+H-H2O,129.0546,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID-H2O,C6H10O4
M+H,290.1598,7.16,ADIPOYLCARNITINE,C13H23NO6
M+Na,312.1418,7.16,ADIPOYLCARNITINE+Na,C13H23NO6
M+H,131.1291,0.65,AGMATINE SULFATE,C5H14N4
M+Na,153.1111,0.65,AGMATINE SULFATE+Na,C5H14N4
M+H-NH3,114.1026,0.65,AGMATINE SULFATE-NH3,C5H14N4
M+H,147.02937,1.23,a-KETOGLUTARATE,C5H6O5
M+H,90.05495,0.751,ALANINE/SARCOSINE,C3H7NO2
M+Na,203.0526,0.79,ALDO/KETO-HEXOSE,C6H12O6
M+Na,173.042,0.79,ALDOPENTOSE,C5H10O5
M+H,159.0513,0.81,ALLANTOIN,C4H6N4O3
M+Na,181.0332,0.81,ALLANTOIN+Na,C4H6N4O3
M+Na,431.2768,11.17,ALLOCHOLIC ACID+Na,C24H40O5
M+H,162.0761,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE,C6H11NO4
M+K,200.032,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+K,C6H11NO4
M+Na,184.058,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+Na,C6H11NO4
M+H-H2O,144.0655,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-H2O,C6H11NO4
M+H-NH3,145.0495,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-NH3,C6H11NO4
M+H,261.037,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE,C6H13O9P
M+Na,283.0189,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE+Na,C6H13O9P
M+H-H2O,243.0264,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE-H2O,C6H13O9P
M+Na,203.0526,0.72,ALPHA-D-GLUCOSE,C6H12O6
M+H-H2O,163.0601,0.72,ALPHA-D-GLUCOSE-H2O,C6H12O6
M+H-H2O,391.2843,12.04,ALPHA-MURICHOLIC ACID-H20,C24H40O5
M+H,371.1548,7.93,AMYLOSE,C14H26O11
M+H,138.055,8.73,ANTHRANILATE,C7H7NO2
M+H-H2O,120.0444,8.73,ANTHRANILATE-H2O,C7H7NO2
M+H,549.2804,15.76,ANTIMYCIN A1,C28H40N2O9
M+H,535.2647,15.33,ANTIMYCIN A2,C27H38N2O9
